customer_pk,customer_id,customer_name,state,city
1,1,David Padilla,Florida,Miami
2,2,Connor Morgan,Illinois,Chicago
3,3,Robert Stone,New York,Buffalo
4,1,David Padilla,Florida,Miami
5,2,Connor Morgan,Illinois,Chicago
6,3,Robert Stone,New York,Buffalo
7,4,John Fields,Florida,Orlando
8,5,Clayton Smith,Florida,Miami
9,6,Richard Kelley,California,Los Angeles
10,6,Richard Kelley,California,Los Angeles
11,7,Jacqueline Hubbard,New York,New York City
12,8,Jessica Anderson,New York,New York City
13,9,Mary Taylor,Florida,Orlando
14,9,Mary Taylor,Florida,Orlando
15,9,Mary Taylor,Florida,Orlando
16,10,Walter Crawford,Illinois,Springfield
17,10,Walter Crawford,Illinois,Springfield
18,11,Lawrence Robinson,New York,Rochester
19,11,Lawrence Robinson,New York,Rochester
20,12,Douglas Pennington,Texas,Dallas
21,13,Ricardo Andrews,California,San Diego
22,14,Paul Raymond,California,San Diego
23,14,Paul Raymond,California,San Diego
24,15,Karen Johnson,New York,Rochester
25,15,Karen Johnson,New York,Rochester
26,15,Karen Johnson,New York,Rochester
27,16,Juan Erickson,Texas,Austin
28,17,Alexander Reed,New York,New York City
29,18,Jacqueline Harris,California,San Francisco
30,19,Tyler Park,California,San Francisco
31,20,Richard Wolfe,Ohio,Columbus
32,21,Sierra Rios,Florida,Orlando
33,21,Sierra Rios,Florida,Orlando
34,22,Jessica Richardson,California,San Diego
35,23,Kimberly Warren,Ohio,Cincinnati
36,22,Jessica Richardson,California,San Diego
37,23,Kimberly Warren,Ohio,Cincinnati
38,24,Casey Garcia,Florida,Orlando
39,24,Casey Garcia,Florida,Orlando
40,25,Denise Hampton,California,San Francisco
41,25,Denise Hampton,California,San Francisco
42,25,Denise Hampton,California,San Francisco
43,26,Justin Rodriguez,Ohio,Cleveland
44,27,Ms. Emily Baxter,New York,Rochester
45,28,Austin White,California,Los Angeles
46,26,Justin Rodriguez,Ohio,Cleveland
47,27,Ms. Emily Baxter,New York,Rochester
48,28,Austin White,California,Los Angeles
49,29,Morgan Montes,California,San Diego
50,30,Christine Mosley,Ohio,Cincinnati
51,31,Ashley Rodriguez,Texas,Austin
52,32,Elizabeth King,Texas,Dallas
53,29,Morgan Montes,California,San Diego
54,30,Christine Mosley,Ohio,Cincinnati
55,31,Ashley Rodriguez,Texas,Austin
56,32,Elizabeth King,Texas,Dallas
57,33,Connie Holmes,Ohio,Cincinnati
58,34,Melissa Peck,Florida,Miami
59,35,David Smith,Florida,Orlando
60,18,Jacqueline Harris,Texas,Houston
61,35,David Smith,Florida,Orlando
62,18,Jacqueline Harris,Texas,Houston
63,35,David Smith,Florida,Orlando
64,18,Jacqueline Harris,Texas,Houston
65,36,Heather Jenkins,New York,Buffalo
66,36,Heather Jenkins,New York,Buffalo
67,36,Heather Jenkins,New York,Buffalo
68,37,Kelsey Castaneda,Ohio,Cleveland
69,38,Katherine Harris,California,Los Angeles
70,37,Kelsey Castaneda,Ohio,Cleveland
71,38,Katherine Harris,California,Los Angeles
72,37,Kelsey Castaneda,Ohio,Cleveland
73,38,Katherine Harris,California,Los Angeles
74,37,Kelsey Castaneda,Ohio,Cleveland
75,38,Katherine Harris,California,Los Angeles
76,39,Paul Rogers,Florida,Miami
77,39,Paul Rogers,Florida,Miami
78,40,Jon Banks,Florida,Tampa
79,41,Michelle Williams,New York,Buffalo
80,42,Andrew Allen,California,San Diego
81,42,Andrew Allen,California,San Diego
82,42,Andrew Allen,California,San Diego
83,42,Andrew Allen,California,San Diego
84,43,Vanessa Bauer,New York,Buffalo
85,44,Sean Smith,Ohio,Cleveland
86,43,Vanessa Bauer,New York,Buffalo
87,44,Sean Smith,Ohio,Cleveland
88,45,Shelly Sweeney,New York,New York City
89,45,Shelly Sweeney,New York,New York City
90,46,Emily Gill,Illinois,Springfield
91,47,Brian Patrick,Florida,Tampa
92,48,Dr. Sarah Booth,Ohio,Cincinnati
93,49,Douglas Mcfarland,Ohio,Cleveland
94,50,Kayla Ross,Illinois,Peoria
95,51,Marc Strickland,Florida,Orlando
96,51,Marc Strickland,Florida,Orlando
97,52,Charlene Brown,Florida,Miami
98,53,Charles Smith,Ohio,Columbus
99,54,Karen Townsend,Texas,Houston
100,54,Karen Townsend,Texas,Houston
101,54,Karen Townsend,Texas,Houston
102,55,Steven Cox,California,Los Angeles
103,56,Cynthia Rodriguez,New York,Rochester
104,57,Jessica Baker,Texas,Austin
105,58,Mark Blackburn,Texas,Dallas
106,59,Zachary Perez,Texas,Austin
107,60,Brian Green,California,San Diego
108,59,Zachary Perez,Texas,Austin
109,60,Brian Green,California,San Diego
110,59,Zachary Perez,Texas,Austin
111,60,Brian Green,California,San Diego
112,61,Becky Leach,Florida,Miami
113,62,Bryan Russell,Texas,Dallas
114,63,Tony Maddox,California,San Francisco
115,62,Bryan Russell,Texas,Dallas
116,63,Tony Maddox,California,San Francisco
117,64,Jason Randolph,California,San Francisco
118,65,Laura Andrews,New York,New York City
119,66,Mrs. Stephanie Hooper,California,San Francisco
120,67,Anthony Evans,Ohio,Cleveland
121,68,Patrick Williams,New York,Rochester
122,69,Susan Burke,Texas,Austin
123,70,Brent Hernandez,New York,Rochester
124,68,Patrick Williams,New York,Rochester
125,69,Susan Burke,Texas,Austin
126,70,Brent Hernandez,New York,Rochester
127,71,Sean Elliott,California,San Francisco
128,72,Wanda West,Ohio,Cleveland
129,71,Sean Elliott,California,San Francisco
130,72,Wanda West,Ohio,Cleveland
131,73,Renee Solomon,Florida,Tampa
132,73,Renee Solomon,Florida,Tampa
133,73,Renee Solomon,Florida,Tampa
134,73,Renee Solomon,Florida,Tampa
135,74,Daryl Miles,Florida,Orlando
136,74,Daryl Miles,Florida,Orlando
137,75,Michael Hunt,Texas,Dallas
138,75,Michael Hunt,Texas,Dallas
139,75,Michael Hunt,Texas,Dallas
140,76,Adam Clark,California,San Francisco
141,77,Amy Olsen,Illinois,Springfield
142,78,Stacey Miller,California,San Diego
143,76,Adam Clark,California,San Francisco
144,77,Amy Olsen,Illinois,Springfield
145,78,Stacey Miller,California,San Diego
146,79,Daniel Mosley,California,Los Angeles
